first_name,last_name,hire_date
Eran,Cusworth,14/11/1986
Bojan,Zallocco,14/10/1986
Nevio,Demizu,18/05/1986
Ziva,Vecchi,3/07/1986
Mohit,Speek,14/01/1986
Qunsheng,Speer,13/02/1986
Dines,Encarnacion,2/08/1986
Harngdar,Swick,28/05/1986
Freyja,Uhrig,20/12/1986
Zhenhua,Milicic,4/08/1986
Bowen,Schmezko,30/05/1986
Reuven,Munke,13/04/1986
Stabislas,Domenig,4/08/1986
Juichirou,Jumpertz,18/09/1986
Juichirou,Ghelli,13/12/1986
Shmuel,Georg,30/11/1986
Xiadong,Bach,29/04/1986
Guangming,Butterworth,1/10/1986
Irene,Setia,10/08/1986
Shuichi,Swiler,8/06/1986
Terresa,Perez,12/09/1986
Lidong,Borovoy,30/05/1986
Teiji,Eickenmeyer,3/09/1986
Baocai,Kroha,27/10/1986
Morrie,Sridhar,4/03/1986
Taegyun,Speckmann,28/12/1986
Stabislas,McFarlin,19/07/1986
Apostol,Ghelli,7/04/1986
Khun,Kuszyk,30/06/1986
Conor,Flanders,21/02/1986
Radhakrishnan,Albarhamtoshy,7/05/1986
Shigeu,Denna,10/04/1986
Uta,Frolund,22/01/1986
Zhiwei,Kaminger,4/07/1986
Sven,Krider,25/09/1986
Yannik,Vakili,9/11/1986
Khatoun,Zeilberger,31/01/1986
Fox,Erva,6/05/1986
Huai,Birrer,28/03/1986
Kristine,Litzler,9/01/1986
Eirik,Farrel,19/09/1986
Wayne,Levergood,5/05/1986
Chrisa,Cullers,28/01/1986
Manton,Perko,18/06/1986
Etsuo,Ratzlaff,15/01/1986
Odysseas,Erie,6/02/1986
Ingmar,Lambe,21/10/1986
Marin,Ashish,11/07/1986
JiYoung,Delaune,4/09/1986
Sandeepan,Sidou,19/01/1986
Neven,Leivant,2/09/1986
Sarita,Hofting,3/07/1986
Kolar,Karunanithi,6/12/1986
Shmuel,Impagliazzo,19/02/1986
Bedrich,Delaune,6/04/1986
Susanne,Asser,5/08/1986
Syozo,Sommen,25/03/1986
Ashish,Ventosa,14/08/1986
Ingmar,Pollacia,21/08/1986
Shrikanth,Ramalingam,10/03/1986
Rimli,Mahnke,17/04/1986
Adib,Chepyzhov,10/11/1986
Florina,Kavvadias,14/12/1986
Kiyomitsu,Bottner,7/11/1986
Berni,Thorelli,5/08/1986
Fumiya,Vilarrasa,27/06/1986
Remzi,Speckmann,5/11/1986
Georgi,Middleton,24/11/1986
Zejun,Anandan,19/03/1986
Kamakshi,Lipner,17/08/1986
Hyuncheol,Chaudhuri,9/07/1986
